No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
972,Phenol,7.34,108-95-2,C1=CC=C(C=C1)O,,,https://doi.org/10.1016/j.jhazmat.2025.138052,halogeneted,Halogenated organics
973,Phenol,8.52,108-95-2,C1=CC=C(C=C1)O,11,,https://doi.org/10.1016/0146-5724(78)90101-2,halogeneted,Halogenated organics
974,Phenol,7.21,108-95-2,C1=CC=C(C=C1)O,,,https://doi.org/10.1039/C6EM00580B,halogeneted,Halogenated organics
975,Phenol,8.42,108-95-2,C1=CC=C(C=C1)O,11.4,,https://doi.org/10.1002/kin.550230606,halogeneted,Halogenated organics
976,Phenol,8.4,108-95-2,C1=CC=C(C=C1)O,,,https://doi.org/10.1016/j.jhazmat.2025.138081,halogeneted,Halogenated organics
977,Phenol,7.2,108-95-2,C1=CC=C(C=C1)O,8,,https://doi.org/10.1016/j.jphotochem.2006.04.045,halogeneted,Halogenated organics
978,Phenolate,8.4,3229-70-7,C1=CC=C(C=C1)[O-],,,https://doi.org/10.1016/j.crci.2008.09.024,halogeneted,Halogenated organics
979,Phenolate,8.38,3229-70-7,C1=CC=C(C=C1)[O-],,,https://doi.org/10.1039/C6EM00580B,halogeneted,Halogenated organics
980,Phenolate,8.51,3229-70-7,C1=CC=C(C=C1)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.140660,halogeneted,Halogenated organics
981,Phenoxide,8.67,139-02-6,C1=CC=C(C=C1)[O-],11.2,,https://doi.org/10.1515/9783110866537.109,halogeneted,Halogenated organics
982,phenoxide,8.52,139-02-6,C1=CC=C(C=C1)[O-],,,https://doi.org/10.1063/1.555808,halogeneted,Halogenated organics
983,Phenoxide,8.38,139-02-6,C1=CC=C(C=C1)[O-],12.2,,https://doi.org/10.1080/09553007714550691,halogeneted,Halogenated organics
984,Phenoxide,7.7,139-02-6,C1=CC=C(C=C1)[O-],12,,https://doi.org/10.1021/J100585A004,halogeneted,Halogenated organics
985,phenoxide,8.41,139-02-6,C1=CC=C(C=C1)[O-],11.8,,https://doi.org/10.1021/es051236b,halogeneted,Halogenated organics
986,phenoxide,8.38,139-02-6,C1=CC=C(C=C1)[O-],,,https://doi.org/10.1021/es051236b,halogeneted,Halogenated organics
