No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Pubchem_cid,Chemical_class_27,Chemical_class_coarse
901,4-Methoxyphenol,7.342422681,150-76-5,COC1=CC=C(C=C1)O,,,NIST,9015.0,alcohol,Oxygenated organics
902,3-Methoxyphenol,7.113943352,150-19-6,COC1=CC=CC(=C1)O,,,NIST,9007.0,alcohol,Oxygenated organics
903,Nitrite ion,6.491361694,14797-65-0,N(=O)[O-],8.3,,NIST,946.0,amine,Nitrogen-containing organics
904,4-cyanophenol,6.788875116,767-00-0,C1=CC(=CC=C1C#N)O,,,NIST,13019.0,halogeneted,Halogenated organics
905,4-Nitrophenoxide ion,8.77815125,14609-74-6,C1=CC(=CC=C1[N+](=O)[O-])O,10,,NIST,980.0,halogeneted,Halogenated organics
906,Hematoporphyrin IX,8.903089987,14459-29-1,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C(C)O)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C(C)O,,,NIST,11103.0,diol,Polyfunctional / highly functionalized
907,Azide ion,8.586587305,14343-69-2,[N-]=[N+]=[N-],,,NIST,33558.0,amine,Nitrogen-containing organics
908,Azide ion,8.51851394,14343-69-2,[N-]=[N+]=[N-],,,NIST,33558.0,amine,Nitrogen-containing organics
909,Azide ion,5.84509804,14343-69-2,[N-]=[N+]=[N-],,,NIST,33558.0,amine,Nitrogen-containing organics
910,4-(Dimethylamino)nitrosobenzene,7.832508913,138-89-6,CN(C)C1=CC=C(C=C1)N=O,,,NIST,8749.0,halogeneted,Halogenated organics
911,"1,4-Benzenediol",8.77815125,123-31-9,C1=CC(=CC=C1O)O,,,NIST,785.0,halogeneted,Halogenated organics
912,"N,N-Dimethylaniline",7.556302501,121-69-7,CN(C)C1=CC=CC=C1,,,NIST,949.0,cyclo,Aromatic & PAHs
913,10-Methylphenothiazine,4.924279286,1207-72-3,CN1C2=CC=CC=C2SC3=CC=CC=C31,,,NIST,71015.0,"sulfide, disulfide",Sulfur-containing organics
914,Indole,7.84509804,120-72-9,C1=CC=C2C(=C1)C=CN2,7.2,,NIST,798.0,halogeneted,Halogenated organics
915,Guanosine,7.0,118-00-3,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=NC2=O)N,,,NIST,765.0,diol,Polyfunctional / highly functionalized
916,Guanosine,6.0,118-00-3,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=NC2=O)N,7.1,,NIST,765.0,diol,Polyfunctional / highly functionalized
917,Biliverdin,9.602059991,114-25-0,CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O,,,NIST,251.0,cyclo,Aromatic & PAHs
918,Biliverdin,9.698970004,114-25-0,CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O,10.5,,NIST,251.0,cyclo,Aromatic & PAHs
919,Phenol,7.290034611,108-95-2,C1=CC=C(C=C1)O,8,,NIST,996.0,halogeneted,Halogenated organics
920,Phenol,7.787460475,108-95-2,C1=CC=C(C=C1)O,9,,NIST,996.0,halogeneted,Halogenated organics
921,Phenol,7.787460475,108-95-2,C1=CC=C(C=C1)O,9,,NIST,996.0,halogeneted,Halogenated organics
922,Phenol,8.424881637,108-95-2,C1=CC=C(C=C1)O,10.3,,NIST,996.0,halogeneted,Halogenated organics
923,Phenol,8.424881637,108-95-2,C1=CC=C(C=C1)O,10.3,,NIST,996.0,halogeneted,Halogenated organics
924,"1,3-Benzenediol",7.301029996,108-46-3,C1=CC(=CC(=C1)O)O,,,NIST,5054.0,halogeneted,Halogenated organics
925,3-Chlorophenol,6.73239376,108-43-0,C1=CC(=CC(=C1)Cl)O,,,NIST,7933.0,halogeneted,Halogenated organics
926,4-Chlorophenol,6.77815125,106-48-9,C1=CC(=CC=C1O)Cl,,,NIST,4684.0,halogeneted,Halogenated organics
927,Deoxycytidine monophosphate,5.0,1032-65-1,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,7,,NIST,624.0,diol,Polyfunctional / highly functionalized
928,"N,N,N',N'-Tetramethyl-p-phenylenediamine",9.51851394,100-22-1,CN(C)C1=CC=C(C=C1)N(C)C,,,NIST,7490.0,halogeneted,Halogenated organics
929,"N,N,N',N'-Tetramethyl-p-phenylenediamine",9.260071388,100-22-1,CN(C)C1=CC=C(C=C1)N(C)C,,,NIST,7490.0,halogeneted,Halogenated organics
930,4-Nitrophenol,5.414973348,100-02-7,C1=CC(=CC=C1[N+](=O)[O-])O,,,NIST,980.0,halogeneted,Halogenated organics
